,Headlines,Day,Month,Date,Year,No. Comments,Author
622,GM is Morgan Stanley's top pick in auto,Wed,Mar,04, 2020,132,SA News
623,Tesla +7% after landing JMP Securities upgrade,Tue,Mar,03, 2020,264,SA News
624,Cybertruck passes early test with construction pros,Sat,Feb,29, 2020,612,SA News
625,Consumer favorites have a week to forget,Fri,Feb,28, 2020,98,SA News
626,Tesla continues to slide,Thu,Feb,27, 2020,413,SA News
627,"Tesla, Panasonic end solar deal in New York",Wed,Feb,26, 2020,322,SA News
628,Tesla slammed at NTSB hearing,Tue,Feb,25, 2020,493,SA News
629,Tesla -7% as coronavirus cases climb,Mon,Feb,24, 2020,327,SA News
630,China auto deliveries come to a standstill,Fri,Feb,21, 2020,354,SA News
631,Clearing operations resume at Giga Berlin,Fri,Feb,21, 2020,191,SA News
632,Consumer high-flyers hit a mid-day tripwire,Thu,Feb,20, 2020,80,SA News
633,Tesla rally powers up again,Wed,Feb,19, 2020,396,SA News
634,Tesla rally keeps analysts scrambling,Tue,Feb,18, 2020,228,SA News
635,Renaissance Technologies rides Tesla rally,Tue,Feb,18, 2020,89,SA News
636,Tesla looks at cobalt-free batteries,Tue,Feb,18, 2020,192,SA News
637,Court halts forest clearance for Giga Berlin,Mon,Feb,17, 2020,358,SA News
638,Loup Ventures sees Tesla in the EV pole position,Sat,Feb,15, 2020,300,SA News
639,Tesla acknowledges 'health epidemics' as risk in filing,Fri,Feb,14, 2020,196,SA News
640,Tesla pricing $2B offering at $767/share - Bloomberg,Thu,Feb,13, 2020,247,SA News
641,Tesla's capital raise called a smart move,Thu,Feb,13, 2020,386,SA News
642,Tesla discloses new subpoena,Thu,Feb,13, 2020,125,SA News
643,Tesla hits the capital raise button,Thu,Feb,13, 2020,335,SA News
644,Tesla recalls 15K Model X SUVs over power steering issue,Wed,Feb,12, 2020,313,SA News
645,Tesla crashes placed on NTSB docket,Tue,Feb,11, 2020,243,SA News
646,Tesla +7% as Shanghai workers roll in,Mon,Feb,10, 2020,201,SA News
647,Automakers look to restart production in China,Mon,Feb,10, 2020,57,SA News
648,Giga Berlin eligible for state subsidies,Sun,Feb,09, 2020,179,SA News
649,Tesla aims for restart in Shanghai next week,Sat,Feb,08, 2020,285,SA News
650,Tesla continues slide as China slowdown factors in,Thu,Feb,06, 2020,162,SA News
651,Tesla -18% as selling picks up,Wed,Feb,05, 2020,494,SA News
652,Tesla tumbling after confirming China deliveries delay,Wed,Feb,05, 2020,286,SA News
653,Canaccord downgrades Tesla after sizzling rally,Wed,Feb,05, 2020,99,SA News
654,Musk asks Twitter about 'Giga Texas',Wed,Feb,05, 2020,151,SA News
655,Tesla rally takes a breather into the close,Tue,Feb,04, 2020,227,SA News
656,Tesla goes parabolic; Citron says even Musk might short here,Tue,Feb,04, 2020,459,SA News
657,Tesla makes a run at $900,Tue,Feb,04, 2020,371,SA News
658,Tesla tops $800 on boost from Panasonic JV,Tue,Feb,04, 2020,209,SA News
659,Tesla soars on China growth conviction,Mon,Feb,03, 2020,646,SA News
660,Tesla burns rubber again,Mon,Feb,03, 2020,563,SA News
661,CATL confirms Tesla supply deal,Mon,Feb,03, 2020,174,SA News
662,Tesla +8% as analysts try to keep up,Thu,Jan,30, 2020,504,SA News
663,Tesla promises quick ramp for Model Y as shares surge,Wed,Jan,29, 2020,235,SA News
664,Wedbush sees Tesla cruising to 1M deliveries,Wed,Jan,29, 2020,114,SA News
665,Tesla blasts through $600 after big earnings beat,Wed,Jan,29, 2020,546,SA News
666,"Tesla EPS beats by $0.38, beats on revenue",Wed,Jan,29, 2020,276,SA News
667,WWII bombs defused at Tesla's German site,Wed,Jan,29, 2020,107,SA News
668,Tesla Q4 2019 Earnings Preview,Tue,Jan,28, 2020,140,SA News
669,What to watch in Tesla's Q4 report,Tue,Jan,28, 2020,149,SA News
670,China anxiety dents auto sector,Mon,Jan,27, 2020,90,SA News
671,Rivian looks to crash EV party,Sun,Jan,26, 2020,476,SA News
672,U.S. Senator takes dig at Tesla's Autopilot,Fri,Jan,24, 2020,336,SA News
673,UBS note on Tesla scratches heads,Thu,Jan,23, 2020,198,SA News
674,Tesla faces new suit over acceleration,Wed,Jan,22, 2020,173,SA News
675,Wedbush confident on Tesla ahead of earnings,Wed,Jan,22, 2020,244,SA News
676,"Tesla joins $100B club, tops Volkswagen",Wed,Jan,22, 2020,326,SA News
677,Tesla breaks through in Michigan,Tue,Jan,21, 2020,240,SA News
678,Analysts upshift and downshift on Tesla,Tue,Jan,21, 2020,171,SA News
679,Tesla blasts U.S. safety recall petition,Tue,Jan,21, 2020,246,SA News
680,Tesla secures land for European factory,Sun,Jan,19, 2020,505,SA News
681,Tesla unintended acceleration complaints to come under NHTSA scrutiny,Fri,Jan,17, 2020,339,SA News
682,Tesla cools off after Morgan Stanley turns bearish,Thu,Jan,16, 2020,217,SA News
683,New Tesla registrations nearly halve in California,Thu,Jan,16, 2020,559,SA News
684,Tesla looks to Glencore for cobalt,Wed,Jan,15, 2020,111,SA News
685,U.S. auto sales forecast to fall slightly in 2020,Tue,Jan,14, 2020,38,SA News
686,Tesla rally finds a new gear,Tue,Jan,14, 2020,219,SA News
687,Tesla races past $500,Mon,Jan,13, 2020,660,SA News
688,Israel grounds Tesla's Autopilot - Calcalist,Mon,Jan,13, 2020,250,SA News
689,Tesla PT hiked to $553 at Piper Sandler on China growth potential,Fri,Jan,10, 2020,225,SA News
690,Noted Tesla bull says take profits here,Thu,Jan,09, 2020,238,SA News
691,Slow roll for Toyota in EVs?,Wed,Jan,08, 2020,274,SA News
692,Tesla price target hiked to Street-high $556 by Argus,Tue,Jan,07, 2020,404,SA News
693,Tesla spirals to record market cap for U.S. automaker,Tue,Jan,07, 2020,350,SA News
694,Sony shocks at CES with electric car concept,Tue,Jan,07, 2020,217,SA News
695,Credit Suisse stays in bear camp on Tesla,Tue,Jan,07, 2020,156,SA News
696,Model Y program launches in Shanghai,Tue,Jan,07, 2020,193,SA News
697,Model Y expected to be mentioned at Tesla event tomorrow,Mon,Jan,06, 2020,199,SA News
698,Tesla rises to record high after beating Q4 delivery guidance,Fri,Jan,03, 2020,426,SA News
699,Auto sector hits the skids,Fri,Jan,03, 2020,142,SA News
700,Wedbush calls China the Tesla wildcard,Fri,Jan,03, 2020,62,SA News
701,Tesla +1% after topping Q4 deliveries expectations,Fri,Jan,03, 2020,284,SA News
702,Record year for Tesla in Norway,Fri,Jan,03, 2020,144,SA News
703,Tesla slashes price of China-made Model 3,Fri,Jan,03, 2020,253,SA News
704,Canaccord Genuity fires off Street-high PT on Tesla,Thu,Jan,02, 2020,182,SA News
705,First customers to receive China-made Model 3s,Thu,Jan,02, 2020,83,SA News
706,Tesla faces lawsuit claiming racism,Wed,Jan,01, 2020,236,SA News
